RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1083891.0,1095244.0,1116158.0,1110777.0,1110752.0,1100678.0,1081990.0,1056843.0,1052388.0,1056984.0,1068839.0,1065266.0
61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1135281.0,1109912.0,1109211.0,1096399.0,1094837.0,1090185.0,1090223.0,1083327.0,1062489.0,1056177.0,1064622.0,1090206.0
61616,6,10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,982881.0,995844.0,1010738.0,1000755.0,1000298.0,1008917.0,1022677.0,1024317.0,1015084.0,1014887.0,1012636.0,1037946.0
62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,627655.0,642478.0,659393.0,668787.0,666941.0,662393.0,656451.0,648913.0,647485.0,637022.0,627307.0,614754.0
61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,169886.0,171180.0,172950.0,174116.0,174988.0,175537.0,177673.0,179822.0,184652.0,189184.0,191028.0,191290.0
61630,15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,813116.0,804293.0,798945.0,796738.0,798654.0,795067.0,795244.0,786025.0,776190.0,767719.0,764089.0,766487.0
62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,947051.0,955544.0,963373.0,968357.0,973330.0,981657.0,978790.0,972302.0,978430.0,985057.0,989154.0,976404.0
62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,377219.0,378776.0,378488.0,377308.0,377481.0,379950.0,382308.0,381593.0,379698.0,378033.0,379331.0,380425.0
62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,432188.0,434660.0,438302.0,439836.0,442273.0,441616.0,437286.0,432849.0,427424.0,426181.0,423363.0,425169.0
61643,25,10029,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1020691.0,945513.0,874740.0,801022.0,759846.0,719997.0,714281.0,699089.0,701634.0,687665.0,661210.0,647407.0
61623,26,10009,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,840877.0,845095.0,867052.0,892356.0,901583.0,877277.0,863688.0,841638.0,828781.0,807954.0,798327.0,806328.0
61625,30,10011,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1174229.0,1152803.0,1132985.0,1105496.0,1098971.0,1095596.0,1098770.0,1088172.0,1075484.0,1058832.0,1045441.0,1037389.0
61703,32,10128,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1116204.0,1118943.0,1122118.0,1113191.0,1110395.0,1107586.0,1108024.0,1092682.0,1075284.0,1057821.0,1056111.0,1055351.0
62017,42,11206,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,655044.0,647075.0,643330.0,636375.0,636295.0,621797.0,604601.0,585940.0,579076.0,574629.0,567029.0,565248.0
61802,49,10462,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,168722.0,170838.0,173755.0,176039.0,176914.0,178251.0,180098.0,182207.0,183842.0,186147.0,187504.0,189624.0
61796,50,10456,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,267905.0,269172.0,270525.0,272175.0,271844.0,271029.0,274649.0,280436.0,289528.0,294971.0,299524.0,301253.0
61633,53,10019,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1116036.0,1100824.0,1089336.0,1075837.0,1066771.0,1065527.0,1071757.0,1073124.0,1063730.0,1050913.0,1044096.0,1044828.0
61617,55,10003,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1159478.0,1155407.0,1121947.0,1083968.0,1066698.0,1061171.0,1059030.0,1022577.0,991878.0,965720.0,973882.0,989164.0
62040,59,11230,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,485523.0,490903.0,492950.0,495099.0,494493.0,501216.0,507875.0,514623.0,513936.0,509797.0,505277.0,501952.0
62023,60,11212,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,457003.0,458289.0,463736.0,469249.0,472675.0,473573.0,472775.0,471921.0,467070.0,463856.0,463451.0,466137.0
61803,62,10463,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,272032.0,277941.0,286701.0,291929.0,294915.0,295372.0,296839.0,298706.0,302020.0,303428.0,305804.0,311669.0
62020,64,11209,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,503669.0,500537.0,501258.0,507748.0,513449.0,516997.0,515627.0,514983.0,512526.0,507146.0,503503.0,500788.0
62032,66,11221,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1100870.0,1095269.0,1094620.0,1094458.0,1091252.0,1084848.0,1086574.0,1084562.0,1094936.0,1098505.0,1100337.0,1095652.0
